group1	group2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci
d10_972_1	d10_972_3	10	0.042669	0.821606	0.000005	0	0.000009
d10_972_2	d10_972_3	11	0.022776	0.864662	0.000009	0.000003	0.000016
d0_972_1	d11_1001_fmt	9	0.984243	-0.055851	0.962605	0.958762	0.966447
d0_972_2	d11_1001_fmt	10	0.981526	-0.011112	0.962588	0.958743	0.966433
d0_972_3	d11_1001_fmt	11	0.983227	-0.010395	0.962623	0.958782	0.966464
d10_1006_1	d11_1001_fmt	10	0.972195	-0.029861	0.976934	0.974544	0.979323
d10_1006_2	d11_1001_fmt	5	0.968667	-0.003849	0.97654	0.974081	0.979
d10_1006_3	d11_1001_fmt	7	0.969394	-0.011851	0.962343	0.958664	0.966021
d10_1007_1	d11_1001_fmt	8	0.963768	0.034419	0.976161	0.973667	0.978654
d10_1007_2	d11_1001_fmt	9	0.985994	-0.15798	0.988018	0.986351	0.989686
d10_1007_3	d11_1001_fmt	8	0.978478	-0.082316	0.977958	0.975636	0.98028
d10_1008_1	d11_1001_fmt	7	0.959041	-0.020342	0.953787	0.949252	0.958322
d10_1008_3	d11_1001_fmt	8	0.982261	-0.047945	0.98168	0.979601	0.983759
d10_1009_1	d11_1001_fmt	9	0.964556	-0.034627	0.97955	0.977314	0.981786
d10_1009_2	d11_1001_fmt	8	0.983708	-0.035677	0.988	0.986349	0.989651
d10_1009_4	d11_1001_fmt	5	0.983252	-0.079526	0.989915	0.988367	0.991463
d10_1010_2	d11_1001_fmt	7	0.968376	-0.034549	0.9815	0.979391	0.983609
d10_1010_3	d11_1001_fmt	9	0.982037	-0.062156	0.981023	0.978902	0.983144
d10_1010_4	d11_1001_fmt	8	0.979319	-0.015555	0.982044	0.979998	0.98409
d10_1015_1	d11_1001_fmt	10	0.972317	-0.070547	0.974458	0.971848	0.977068
d10_1015_2	d11_1001_fmt	32	0.954257	0.157721	0.98286	0.98093	0.98479
d10_1015_3	d11_1001_fmt	11	0.983762	-0.024101	0.984956	0.983127	0.986786
d10_972_1	d11_1001_fmt	6	0.978367	-0.053859	0.962555	0.958707	0.966402
d10_972_2	d11_1001_fmt	6	0.979409	-0.018486	0.962597	0.958753	0.96644
d10_972_3	d11_1001_fmt	5	0.979871	-0.08717	0.962505	0.958653	0.966357
d0_972_1	d11_1002_fmt	11	0.97873	0.05018	0.956457	0.952707	0.960207
d0_972_2	d11_1002_fmt	11	0.975119	0.083866	0.956429	0.952677	0.960182
d0_972_3	d11_1002_fmt	11	0.977525	0.071752	0.956478	0.95273	0.960226
d10_1006_1	d11_1002_fmt	10	0.95043	0.052609	0.924545	0.919504	0.929585
d10_1006_2	d11_1002_fmt	5	0.926779	0.078305	0.924061	0.918997	0.929125
d10_1006_3	d11_1002_fmt	8	0.928622	0.082211	0.912744	0.907356	0.918133
d10_1007_1	d11_1002_fmt	6	0.922886	0.09114	0.922319	0.91711	0.927528
d10_1007_2	d11_1002_fmt	10	0.96883	-0.063527	0.939717	0.935145	0.944289
d10_1007_3	d11_1002_fmt	11	0.95273	0.035488	0.925058	0.920007	0.93011
d10_1008_1	d11_1002_fmt	7	0.943012	0.060755	0.948201	0.943789	0.952612
d10_1008_3	d11_1002_fmt	9	0.961618	0.04636	0.928309	0.923092	0.933525
d10_1009_1	d11_1002_fmt	12	0.917274	0.083745	0.927354	0.922367	0.932341
d10_1009_2	d11_1002_fmt	8	0.959388	0.046798	0.940602	0.936158	0.945047
d10_1009_4	d11_1002_fmt	6	0.957996	0.016081	0.944226	0.939937	0.948514
d10_1010_2	d11_1002_fmt	6	0.931547	0.036134	0.927825	0.92259	0.93306
d10_1010_3	d11_1002_fmt	10	0.959936	0.031739	0.927987	0.922767	0.933207
d10_1010_4	d11_1002_fmt	8	0.954117	0.066872	0.928726	0.923591	0.933861
d10_1015_1	d11_1002_fmt	10	0.933788	0.012771	0.920916	0.91573	0.926103
d10_1015_2	d11_1002_fmt	30	0.924665	0.216546	0.931751	0.926958	0.936545
d10_1015_3	d11_1002_fmt	9	0.959743	0.033683	0.935462	0.930814	0.940109
d10_972_1	d11_1002_fmt	6	0.971843	0.028399	0.956408	0.952653	0.960163
d10_972_2	d11_1002_fmt	8	0.972394	0.08745	0.956448	0.952697	0.960199
d10_972_3	d11_1002_fmt	5	0.973381	-0.00508	0.956345	0.952586	0.960105
d11_1001_fmt	d11_1002_fmt	119	0.358331	0.518256	0.392241	0.370512	0.41397
d0_972_1	d12_1001_fmt	9	0.979092	-0.088844	0.959007	0.955477	0.962537
d0_972_2	d12_1001_fmt	9	0.975814	-0.054736	0.958983	0.95545	0.962515
d0_972_3	d12_1001_fmt	11	0.977845	-0.042962	0.959025	0.955496	0.962553
d10_1006_1	d12_1001_fmt	10	0.964275	-0.06262	0.970515	0.967985	0.973044
d10_1006_2	d12_1001_fmt	5	0.957235	-0.036123	0.969979	0.967382	0.972576
d10_1006_3	d12_1001_fmt	8	0.958156	-0.032158	0.954374	0.950758	0.957989
d10_1007_1	d12_1001_fmt	8	0.950101	0.002613	0.969382	0.966735	0.972029
d10_1007_2	d12_1001_fmt	10	0.979485	-0.179045	0.982993	0.981073	0.984912
d10_1007_3	d12_1001_fmt	10	0.969103	-0.091219	0.971481	0.969002	0.973961
d10_1008_1	d12_1001_fmt	7	0.946215	-0.052293	0.948703	0.944468	0.952937
d10_1008_3	d12_1001_fmt	8	0.974582	-0.079843	0.975473	0.973144	0.977802
d10_1009_1	d12_1001_fmt	10	0.950939	-0.05514	0.973334	0.970919	0.97575
d10_1009_2	d12_1001_fmt	7	0.975861	-0.079812	0.983036	0.981149	0.984923
d10_1009_4	d12_1001_fmt	6	0.975067	-0.099972	0.985287	0.983499	0.987076
d10_1010_2	d12_1001_fmt	6	0.955894	-0.07847	0.975256	0.972895	0.977616
d10_1010_3	d12_1001_fmt	9	0.973928	-0.094484	0.97475	0.972387	0.977112
d10_1010_4	d12_1001_fmt	7	0.970195	-0.058872	0.975915	0.973626	0.978204
d10_1015_1	d12_1001_fmt	11	0.960693	-0.091827	0.967553	0.964826	0.970281
d10_1015_2	d12_1001_fmt	33	0.946193	0.137906	0.976799	0.97465	0.978948
d10_1015_3	d12_1001_fmt	11	0.975987	-0.056613	0.979512	0.977464	0.981559
d10_972_1	d12_1001_fmt	5	0.972091	-0.098145	0.958955	0.95542	0.96249
